branch,last_commit,subject,merged_to_main,in_pilot,classification,safe_to_delete,safe_to_archive
chore/test-users,2026-05-16,chore(scripts): add create-test-users.js for 8-role seed,N,N,Experimental,N,Y
claude/8a1-workflow-template-catalog,2026-06-08,feat(8A-1): workflow template catalog + seeded approval temp,N,N,Experimental,N,Y
claude/8a2-template-instantiation,2026-06-08,feat(8A-2): instantiate workflow template -> engine definiti,N,N,Experimental,N,Y
claude/8a3-template-step-configs,2026-06-08,fix(8A-3): correct demo-template step configs + engine-align,N,N,Experimental,N,Y
claude/8f-operational-completeness,2026-06-08,test(8F): end-to-end Customer Data Update — approve applie,N,N,Experimental,N,Y
claude/8f1-form-builder-engine,2026-06-08,feat(8F-1): Form Builder engine (definitions + versions + im,N,N,Experimental,N,Y
claude/add-git-commands-cDRcB,2026-05-16,refactor(src): align with new visit_reasons_master + raw_dat,Y,Y,Legacy-merged,Y,Y
claude/ai-insights-sprint,2026-06-04,feat(insights): deterministic AI insights foundation (flag-O,N,N,Experimental,N,Y
claude/ai-strategy,2026-06-04,docs: AI strategy — NL Copilot over existing RPCs; free-ti,N,N,Experimental,N,Y
claude/alerts-a1-foundation,2026-06-09,feat(alerts): Phase A1 — foundation (rules + instances + r,N,N,Experimental,N,Y
claude/alerts-a2-evaluator,2026-06-09,feat(alerts): Phase A2 — evaluator + dispatch + cron,N,N,Experimental,N,Y
claude/alerts-a3-sources,2026-06-09,chore: re-trigger CI (DB job stuck queued),N,N,Experimental,N,Y
claude/alerts-a3b-lowstock,2026-06-09,test(alerts): use a non-seeded rule_key in the foundation te,N,N,Experimental,N,Y
claude/alerts-a4-lifecycle,2026-06-09,feat(alerts): Phase A4 — lifecycle actions (acknowledge/sn,N,N,Experimental,N,Y
claude/alerts-a5-ui,2026-06-09,feat(alerts): Phase A5 — alerts UI (list + lifecycle actio,N,N,Experimental,N,Y
claude/alerts-a8-pilot-guide,2026-06-09,docs(alerts): pilot enablement guide,N,N,Documentation,N,Y
claude/alerts-design,2026-06-09,docs(alerts): Critical Alerts Framework — platform design,N,N,Documentation,N,Y
claude/architecture-index,2026-06-03,docs: master Architecture Index (design only),N,N,Documentation,N,Y
claude/attachments-build,2026-06-02,docs: expanded FP-0 design — first-class FMCG customer hie,Y,Y,Legacy-merged,Y,Y
claude/attachments-design,2026-06-02,docs: ERP Attachments — design review (review-first; no bu,N,N,Documentation,N,Y
claude/auth-p1-granular-catalog,2026-06-03,feat(auth): Phase 1 granular capability catalog + alias reso,N,N,Experimental,N,Y
claude/authorization-model-spec,2026-06-03,docs(authz): close F1/F3/F4 + Approval Matrix consolidation ,N,N,Experimental,N,Y
claude/authz-enforcement,2026-06-03,feat(authz): P6 console — Authorization Console (capabilit,Y,Y,Legacy-merged,Y,Y
claude/brave-mendel-xoudda,2026-06-16,feat(market-visits): standalone market visits tracker,N,N,Experimental,N,Y
claude/build-expiry-registration-app-en17Q,2026-05-18,fix: damage request RLS update policy — correct WITH CHECK,N,N,Experimental,N,Y
claude/business-process-demo-runbook,2026-06-08,docs: business-process foundation demo runbook (3 demo workf,N,N,Experimental,N,Y
claude/change-request-engine-design,2026-06-09,docs(change-requests): fold in sign-off decisions,N,N,Documentation,N,Y
claude/ci-deploy-edge-functions,2026-06-13,ci: add Deploy Edge Functions workflow + supabase/config.tom,N,N,Experimental,N,Y
claude/clinic-project-continuation-2onKn,2026-06-02,docs: Slice S3 (Expanded Customer Model) design review,N,N,Experimental,N,Y
claude/clinic-project-continuation-7P1NJ,2026-06-01,Demo: all-role users + verified permission matrix (pre-seed ,N,N,Experimental,N,Y
claude/clinic-project-continuation-PqxGD,2026-06-06,fix(offline): emit Next standalone server when KAKO_OFFLINE ,N,N,Experimental,N,Y
claude/commercial-attribution,2026-06-08,feat(attribution): Phase 4+ — promotion/return attribution,N,N,Experimental,N,Y
claude/commercial-excellence-pricing-credit,2026-06-08,feat(commercial): Phase 7 — Commercial Excellence 6A (pric,N,N,Experimental,N,Y
claude/commercial-excellence-targets-forecast-mdg,2026-06-08,feat(commercial): Phase 7 — Commercial Excellence 6B (targ,N,N,Experimental,N,Y
claude/company-onboarding-wizard,2026-06-03,feat(onboarding): Organization Structure UI — wizard step ,N,N,Experimental,N,Y
